week,date,market,brand,units_w,rev_usd_w,cov_w,dp,units_wx,rev_usd_wx,products,in_list,best_bsr
2026-08-31,2026-09-06,IT,BIODANCE,400,7299,2,2,584,11040,10,0,302
2026-08-31,2026-09-06,IT,Beauty of Joseon,0,0,0,0,369,3205,26,0,
2026-08-31,2026-09-06,IT,COSRX,0,0,0,0,815,12983,71,0,
2026-08-31,2026-09-06,IT,Coreana,7900,156299,9,9,9437,184658,61,3,2
2026-08-31,2026-09-06,IT,Melaxin,0,0,0,0,23,735,19,0,
2026-08-31,2026-09-06,IT,Purito,0,0,0,0,499,8407,56,0,
2026-08-31,2026-09-06,IT,d'Alba,200,4534,1,1,443,9663,24,0,241
2026-08-31,2026-09-06,IT,medicube,13100,3316400,12,12,17062,3387806,88,6,4
2026-08-31,2026-09-06,UK,Anua,7900,148560,12,22,8915,196459,96,0,134
2026-08-31,2026-09-06,UK,BIODANCE,9850,158860,12,15,10081,163012,46,1,11
2026-08-31,2026-09-06,UK,Beauty of Joseon,10700,402873,14,18,12606,427139,38,1,43
2026-08-31,2026-09-06,UK,COSRX,6400,89828,12,19,8827,132138,72,0,163
2026-08-31,2026-09-06,UK,Coreana,0,0,0,21,24,13511,25,0,22346
2026-08-31,2026-09-06,UK,Melaxin,3250,64841,11,14,3575,71427,36,0,581
2026-08-31,2026-09-06,UK,Purito,2500,34035,7,26,3044,44487,73,0,181
2026-08-31,2026-09-06,UK,d'Alba,3750,64014,6,12,3912,66948,28,0,162
2026-08-31,2026-09-06,UK,medicube,38000,693064,12,12,52314,924487,96,5,2
2026-08-31,2026-09-06,US,Anua,45300,869470,13,18,98259,1880864,89,3,21
2026-08-31,2026-09-06,US,BIODANCE,41800,758983,12,17,43370,792741,52,2,5
2026-08-31,2026-09-06,US,Beauty of Joseon,4900,6998680,11,12,4912,6998859,13,0,1910
2026-08-31,2026-09-06,US,COSRX,14700,276807,14,14,28813,570934,91,0,468
2026-08-31,2026-09-06,US,Coreana,0,0,0,10,58,464,10,0,116849
2026-08-31,2026-09-06,US,Melaxin,29650,598491,29,44,35436,714090,78,0,178
2026-08-31,2026-09-06,US,Purito,11400,202557,13,13,12255,217033,44,0,367
2026-08-31,2026-09-06,US,d'Alba,16350,7871410,11,12,16373,7926058,36,1,83
2026-08-31,2026-09-06,US,medicube,78300,1499643,16,17,110045,2382647,72,6,2
